date,knob,old,new,reason
2026-06-29,min_score,50,49,strong day (win 75%)
2026-06-29,min_score,49,48,strong day (win 75%)
2026-06-30,min_score,48,47,strong day (win 75%)
2026-07-02,min_score,50,51,winners scored 73.8 vs losers 63.7
2026-07-03,min_score,51,52,win rate 0% / stop-heavy
2026-07-06,min_score,52,53,winners scored 85.7 vs losers 74.4
2026-07-07,min_score,53,52,strong day (win 75%)
2026-07-08,counter_trend_penalty,10,12,counter-trend picks kept losing
2026-07-08,min_score,52,53,win rate 0% / stop-heavy
2026-07-10,counter_trend_penalty,12,14,counter-trend picks kept losing
2026-07-13,counter_trend_penalty,14,16,counter-trend picks kept losing
2026-07-14,min_score,53,54,win rate 29% / stop-heavy
2026-07-15,min_score,54,55,win rate 25% / stop-heavy
2026-07-16,min_score,55,56,winners scored 71.3 vs losers 61.7
2026-07-17,counter_trend_penalty,16,18,counter-trend picks kept losing
2026-07-17,min_score,56,57,winners scored 70.7 vs losers 63.2
2026-07-20,counter_trend_penalty,18,20,counter-trend picks kept losing
2026-07-21,min_score,57,58,winners scored 67.7 vs losers 62.7
